age,apps,first_name,full_name,height,last_name,played_positions,position,ranking,rating,team_name,team_region_name,weight
22,3,Gabriel,Gabriel Magalhães,190,dos Santos Magalhães,-DC-,Defender,130,7.3933333333333335,Arsenal,England,78
26,3,Ludwig,Ludwig Augustinsson,181,Augustinsson,-DL-ML-,Defender,131,7.3933333333333335,Werder Bremen,Germany,76
22,4,Federico,Federico Valverde,182,Valverde,-MC-ML-,Midfielder,132,7.3875,Real Madrid,Spain,78
23,3,Gaetano,Gaetano Castrovilli,176,Castrovilli,-MC-,Midfielder,133,7.386666666666667,Fiorentina,Italy,71
29,5,Sergio,Sergio Canales,176,Canales,-AMC-AML-AMR-,Midfielder,134,7.386,Real Betis,Spain,65
30,4,Jose Luis,Joselu,192,Mato Sanmartín,-FW-,Forward,135,7.385,Deportivo Alaves,Spain,80
21,3,Gianluigi,Gianluigi Donnarumma,196,Donnarumma,-GK-,Goalkeeper,136,7.383333333333334,AC Milan,Italy,90
23,3,Lautaro,Lautaro Martínez,174,Martínez,-FW-,Forward,137,7.383333333333333,Inter,Italy,72
24,4,Timothy,Timothy Castagne,185,Castagne,-DR-ML-MR-,Defender,138,7.3825,Leicester,England,80
25,3,Baptiste,Baptiste Santamaría,183,Santamaría,-DMC-,Midfielder,139,7.376666666666666,Angers,France,73
26,4,Solly,Solly March,180,March,-MC-ML-MR-,Midfielder,140,7.375,Brighton,England,88
28,3,Jannik,Jannik Vestergaard,199,Vestergaard,-DC-,Defender,141,7.37,Southampton,England,96
35,4,Luka,Luka Modric,172,Modric,-MC-,Midfielder,142,7.37,Real Madrid,Spain,66
21,4,Declan,Declan Rice,185,Rice,-DC-DMC-,Midfielder,143,7.3675,West Ham,England,76
23,3,Jerdy,Jerdy Schouten,185,Schouten,-DMC-,Midfielder,144,7.363333333333333,Bologna,Italy,72
32,1,Pavao,Pavao Pervan,194,Pervan,-GK-,Goalkeeper,145,7.36,Wolfsburg,Germany,88
26,3,Rodrigo,Rodrigo de Paul,180,de Paul,-AMC-AML-AMR-FW-,Midfielder,146,7.359999999999999,Udinese,Italy,70
